program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Student Loans,Budget Authority,2021,2607.0,Millions of dollars,51310-2021-07-studentloan.xlsx,T1-FCRA_07-2021,true,51310,"Federal Student Loan Program: Budget Account Totals, Federal Credit Reform Act Estimates / Program Accounta / Budget Authority",fiscal_year,2021,2021,2021,16,5
Student Loans,Budget Authority,2022,-1759.0,Millions of dollars,51310-2021-07-studentloan.xlsx,T1-FCRA_07-2021,true,51310,"Federal Student Loan Program: Budget Account Totals, Federal Credit Reform Act Estimates / Program Accounta / Budget Authority",fiscal_year,2022,2022,2022,16,6
Student Loans,Budget Authority,2023,-3155.0,Millions of dollars,51310-2021-07-studentloan.xlsx,T1-FCRA_07-2021,true,51310,"Federal Student Loan Program: Budget Account Totals, Federal Credit Reform Act Estimates / Program Accounta / Budget Authority",fiscal_year,2023,2023,2023,16,7
Student Loans,Budget Authority,2024,-2983.0,Millions of dollars,51310-2021-07-studentloan.xlsx,T1-FCRA_07-2021,true,51310,"Federal Student Loan Program: Budget Account Totals, Federal Credit Reform Act Estimates / Program Accounta / Budget Authority",fiscal_year,2024,2024,2024,16,8
Student Loans,Budget Authority,2025,-2510.0,Millions of dollars,51310-2021-07-studentloan.xlsx,T1-FCRA_07-2021,true,51310,"Federal Student Loan Program: Budget Account Totals, Federal Credit Reform Act Estimates / Program Accounta / Budget Authority",fiscal_year,2025,2025,2025,16,9
Student Loans,Budget Authority,2026,-2383.0,Millions of dollars,51310-2021-07-studentloan.xlsx,T1-FCRA_07-2021,true,51310,"Federal Student Loan Program: Budget Account Totals, Federal Credit Reform Act Estimates / Program Accounta / Budget Authority",fiscal_year,2026,2026,2026,16,10
Student Loans,Budget Authority,2027,-2112.0,Millions of dollars,51310-2021-07-studentloan.xlsx,T1-FCRA_07-2021,true,51310,"Federal Student Loan Program: Budget Account Totals, Federal Credit Reform Act Estimates / Program Accounta / Budget Authority",fiscal_year,2027,2027,2027,16,11
Student Loans,Budget Authority,2028,-1962.0,Millions of dollars,51310-2021-07-studentloan.xlsx,T1-FCRA_07-2021,true,51310,"Federal Student Loan Program: Budget Account Totals, Federal Credit Reform Act Estimates / Program Accounta / Budget Authority",fiscal_year,2028,2028,2028,16,12
Student Loans,Budget Authority,2029,-1580.0,Millions of dollars,51310-2021-07-studentloan.xlsx,T1-FCRA_07-2021,true,51310,"Federal Student Loan Program: Budget Account Totals, Federal Credit Reform Act Estimates / Program Accounta / Budget Authority",fiscal_year,2029,2029,2029,16,13
Student Loans,Budget Authority,2030,-1661.0,Millions of dollars,51310-2021-07-studentloan.xlsx,T1-FCRA_07-2021,true,51310,"Federal Student Loan Program: Budget Account Totals, Federal Credit Reform Act Estimates / Program Accounta / Budget Authority",fiscal_year,2030,2030,2030,16,14
