program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Studentloan,Net Annual Loan Volume (Millions of dollars),2023,86151.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Annual Loan Volume (Millions of dollars),2024,88442.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Annual Loan Volume (Millions of dollars),2025,91123.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Annual Loan Volume (Millions of dollars),2026,93875.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Annual Loan Volume (Millions of dollars),2027,96700.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Annual Loan Volume (Millions of dollars),2028,98387.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Annual Loan Volume (Millions of dollars),2029,100117.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Annual Loan Volume (Millions of dollars),2030,101889.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Annual Loan Volume (Millions of dollars),2032,105564.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Annual Loan Volume (Millions of dollars),2033,107471.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Number of Loans (Thousands),2023,13004.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Number of Loans (Thousands),2024,13180.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Number of Loans (Thousands),2025,13381.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Number of Loans (Thousands),2026,13583.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Number of Loans (Thousands),2027,13786.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Number of Loans (Thousands),2028,13844.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Number of Loans (Thousands),2029,13903.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Number of Loans (Thousands),2030,13961.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Number of Loans (Thousands),2032,14079.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Net Number of Loans (Thousands),2033,14138.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Average Loan Amount (Dollars),2023,6625.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Average Loan Amount (Dollars),2024,6710.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Average Loan Amount (Dollars),2025,6810.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Average Loan Amount (Dollars),2026,6911.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Average Loan Amount (Dollars),2027,7014.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Average Loan Amount (Dollars),2028,7107.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Average Loan Amount (Dollars),2029,7201.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Average Loan Amount (Dollars),2030,7298.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Average Loan Amount (Dollars),2032,7498.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Average Loan Amount (Dollars),2033,7602.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Subsidy Rate (Percent)b,2023,17.8,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Subsidy Rate (Percent)b,2024,16.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Subsidy Rate (Percent)b,2025,16.7,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Subsidy Rate (Percent)b,2026,17.4,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Subsidy Rate (Percent)b,2027,18.0,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Subsidy Rate (Percent)b,2028,17.8,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Subsidy Rate (Percent)b,2029,17.5,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Subsidy Rate (Percent)b,2030,17.2,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Subsidy Rate (Percent)b,2032,16.9,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,Subsidy Rate (Percent)b,2033,16.7,Net Annual Loan Volume (Millions of dollars),51310-2023-05-studentloan.xlsx,T3-NewLoans-FCRA_05-2023,false
Studentloan,All Loans,2023,26.0,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,All Loans,2024,24.5,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,All Loans,2025,25.1,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,All Loans,2026,25.6,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,All Loans,2027,26.1,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,All Loans,2028,25.9,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,All Loans,2029,25.5,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,All Loans,2030,25.2,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,All Loans,2031,24.8,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,All Loans,2033,24.7,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,Subsidized Loans,2023,35.6,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,Subsidized Loans,2024,34.7,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,Subsidized Loans,2025,35.0,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,Subsidized Loans,2026,35.4,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,Subsidized Loans,2027,35.7,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,Subsidized Loans,2028,35.6,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
Studentloan,Subsidized Loans,2029,35.2,"By Fiscal Year, Percent",51310-2023-05-studentloan.xlsx,T6-Subsidies_05-2023,false
