program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
TANF,State Family Assistance Grants,2020,16489.0,Millions of dollars,51314-2020-01-tanf.xlsx,TANF,false,51314,Budget Authority / State Family Assistance Grants,fiscal_year,2020,2020,2020,7,2
TANF,State Family Assistance Grants,2021,16489.0,Millions of dollars,51314-2020-01-tanf.xlsx,TANF,false,51314,Budget Authority / State Family Assistance Grants,fiscal_year,2021,2021,2021,7,3
TANF,State Family Assistance Grants,2022,16489.0,Millions of dollars,51314-2020-01-tanf.xlsx,TANF,false,51314,Budget Authority / State Family Assistance Grants,fiscal_year,2022,2022,2022,7,4
TANF,State Family Assistance Grants,2023,16489.0,Millions of dollars,51314-2020-01-tanf.xlsx,TANF,false,51314,Budget Authority / State Family Assistance Grants,fiscal_year,2023,2023,2023,7,5
TANF,State Family Assistance Grants,2024,16489.0,Millions of dollars,51314-2020-01-tanf.xlsx,TANF,false,51314,Budget Authority / State Family Assistance Grants,fiscal_year,2024,2024,2024,7,6
TANF,State Family Assistance Grants,2025,16489.0,Millions of dollars,51314-2020-01-tanf.xlsx,TANF,false,51314,Budget Authority / State Family Assistance Grants,fiscal_year,2025,2025,2025,7,7
TANF,State Family Assistance Grants,2026,16489.0,Millions of dollars,51314-2020-01-tanf.xlsx,TANF,false,51314,Budget Authority / State Family Assistance Grants,fiscal_year,2026,2026,2026,7,8
TANF,State Family Assistance Grants,2027,16489.0,Millions of dollars,51314-2020-01-tanf.xlsx,TANF,false,51314,Budget Authority / State Family Assistance Grants,fiscal_year,2027,2027,2027,7,9
TANF,State Family Assistance Grants,2028,16489.0,Millions of dollars,51314-2020-01-tanf.xlsx,TANF,false,51314,Budget Authority / State Family Assistance Grants,fiscal_year,2028,2028,2028,7,10
TANF,State Family Assistance Grants,2029,16489.0,Millions of dollars,51314-2020-01-tanf.xlsx,TANF,false,51314,Budget Authority / State Family Assistance Grants,fiscal_year,2029,2029,2029,7,11
