program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
TANF,Budget Authority,2021,17736.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Budget Authority,fiscal_year,2021,2021,2021,14,5
TANF,Budget Authority,2022,16698.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Budget Authority,fiscal_year,2022,2022,2022,14,6
TANF,Budget Authority,2023,16698.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Budget Authority,fiscal_year,2023,2023,2023,14,7
TANF,Budget Authority,2024,16739.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Budget Authority,fiscal_year,2024,2024,2024,14,8
TANF,Budget Authority,2025,16739.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Budget Authority,fiscal_year,2025,2025,2025,14,9
TANF,Budget Authority,2026,16739.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Budget Authority,fiscal_year,2026,2026,2026,14,10
TANF,Budget Authority,2027,16739.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Budget Authority,fiscal_year,2027,2027,2027,14,11
TANF,Budget Authority,2028,16739.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Budget Authority,fiscal_year,2028,2028,2028,14,12
TANF,Budget Authority,2029,16739.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Budget Authority,fiscal_year,2029,2029,2029,14,13
TANF,Budget Authority,2030,16739.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Budget Authority,fiscal_year,2030,2030,2030,14,14
TANF,Budget Authority,2031,16740.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Budget Authority,fiscal_year,2031,2031,2031,14,15
TANF,Estimated Outlays,2021,15401.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2021,2021,2021,16,5
TANF,Estimated Outlays,2022,16504.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2022,2022,2022,16,6
TANF,Estimated Outlays,2023,16741.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2023,2023,2023,16,7
TANF,Estimated Outlays,2024,16704.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2024,2024,2024,16,8
TANF,Estimated Outlays,2025,16735.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2025,2025,2025,16,9
TANF,Estimated Outlays,2026,16737.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2026,2026,2026,16,10
TANF,Estimated Outlays,2027,16737.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2027,2027,2027,16,11
TANF,Estimated Outlays,2028,16737.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2028,2028,2028,16,12
TANF,Estimated Outlays,2029,16737.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2029,2029,2029,16,13
TANF,Estimated Outlays,2030,16738.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2030,2030,2030,16,14
TANF,Estimated Outlays,2031,16739.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2031,2031,2031,16,15
TANF,State Family Assistance Grants,2021,16487.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / State Family Assistance Grants,fiscal_year,2021,2021,2021,19,5
TANF,State Family Assistance Grants,2022,16449.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / State Family Assistance Grants,fiscal_year,2022,2022,2022,19,6
TANF,State Family Assistance Grants,2023,16449.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / State Family Assistance Grants,fiscal_year,2023,2023,2023,19,7
TANF,State Family Assistance Grants,2024,16490.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / State Family Assistance Grants,fiscal_year,2024,2024,2024,19,8
TANF,State Family Assistance Grants,2025,16490.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / State Family Assistance Grants,fiscal_year,2025,2025,2025,19,9
TANF,State Family Assistance Grants,2026,16490.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / State Family Assistance Grants,fiscal_year,2026,2026,2026,19,10
TANF,State Family Assistance Grants,2027,16490.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / State Family Assistance Grants,fiscal_year,2027,2027,2027,19,11
TANF,State Family Assistance Grants,2028,16490.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / State Family Assistance Grants,fiscal_year,2028,2028,2028,19,12
TANF,State Family Assistance Grants,2029,16490.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / State Family Assistance Grants,fiscal_year,2029,2029,2029,19,13
TANF,State Family Assistance Grants,2030,16490.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / State Family Assistance Grants,fiscal_year,2030,2030,2030,19,14
TANF,State Family Assistance Grants,2031,16490.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / State Family Assistance Grants,fiscal_year,2031,2031,2031,19,15
TANF,Grants to Indian Tribes,2021,8.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / Grants to Indian Tribes,fiscal_year,2021,2021,2021,20,5
TANF,Grants to Indian Tribes,2022,8.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / Grants to Indian Tribes,fiscal_year,2022,2022,2022,20,6
TANF,Grants to Indian Tribes,2023,8.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / Grants to Indian Tribes,fiscal_year,2023,2023,2023,20,7
TANF,Grants to Indian Tribes,2024,8.0,Millions of dollars,51314-2021-07-tanf.xlsx,TANF_,false,51314,Temporary Assistance for Needy Families / Estimated Budget Authority for TANF Components / Grants to Indian Tribes,fiscal_year,2024,2024,2024,20,8
