program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Tanf,Budget Authority,2026,16739.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Budget Authority,2027,16739.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Budget Authority,2028,16739.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Budget Authority,2029,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Budget Authority,2030,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Budget Authority,2031,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Budget Authority,2032,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Budget Authority,2033,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Budget Authority,2035,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Budget Authority,2036,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Estimated Outlays,2026,16968.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Estimated Outlays,2027,16800.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Estimated Outlays,2028,16737.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Estimated Outlays,2029,16736.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Estimated Outlays,2030,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Estimated Outlays,2031,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Estimated Outlays,2032,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Estimated Outlays,2033,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Estimated Outlays,2035,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
Tanf,Estimated Outlays,2036,16738.0,"Millions of dollars, by fiscal year",51314-2026-02-tanf.xlsx,TANF_02-2026,false
