program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Tef,Estimated Budget Authority,2025,24517.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2026,29878.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2027,33740.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2028,38416.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2029,42612.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,47711.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2031,52213.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2032,56815.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2033,61314.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2034,65616.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,69517.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,192357.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,497832.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2025,23598.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2026,28352.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2027,32072.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2028,36555.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2029,40732.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2030,45569.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2031,50065.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2032,54579.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2033,59004.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2034,63263.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2035,67175.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2030,183280.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estmated Outlays,2035,477366.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2025,77887.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2026,81082.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2027,83800.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2028,86486.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2029,89133.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,91861.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2031,94589.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2032,97435.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2033,100275.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2034,103235.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,106331.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,432362.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,934227.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2025,37721.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2026,38486.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2027,39246.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2028,40008.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2029,40768.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,41567.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2031,42366.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2032,43203.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2033,44040.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2034,44916.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,45792.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,200075.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,420392.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2025,13666.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2026,14284.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2027,14791.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2028,15288.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2029,15785.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,16294.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2031,16816.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2032,17360.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2033,17914.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2034,18493.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,19101.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,76442.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,166126.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2025,1609.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2026,1643.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2027,1676.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2028,1709.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2029,1742.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,1776.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2031,1811.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2032,1847.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2033,1883.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2034,1922.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,1959.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,8546.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,17968.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2025,916.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2026,951.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2027,980.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2028,1009.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2029,1038.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,1068.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2031,1098.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2032,1130.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2033,1162.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2034,1195.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,1230.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,5046.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,10861.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2025,3863.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2026,4054.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2027,4209.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2028,4360.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2029,4511.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,4666.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2031,4824.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2032,4989.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2033,5158.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2034,5334.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,5520.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2030,21800.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2035,47625.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2025,5774.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
Tef,Estimated Budget Authority,2026,5935.0,Millions of dollars,60044-2025-01-tef.xlsx,TEF-01-2025,false
