program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Toxic Exposures Fund,Estimated Budget Authority,2026,52676.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2026,2026,2026,14,4
Toxic Exposures Fund,Estimated Budget Authority,2027,57400.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2027,2027,2027,14,5
Toxic Exposures Fund,Estimated Budget Authority,2028,62000.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2028,2028,2028,14,6
Toxic Exposures Fund,Estimated Budget Authority,2029,66300.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2029,2029,2029,14,7
Toxic Exposures Fund,Estimated Budget Authority,2030,70300.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2030,2030,2030,14,8
Toxic Exposures Fund,Estimated Budget Authority,2031,73800.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2031,2031,2031,14,9
Toxic Exposures Fund,Estimated Budget Authority,2032,77500.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2032,2032,2032,14,10
Toxic Exposures Fund,Estimated Budget Authority,2033,81400.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2033,2033,2033,14,11
Toxic Exposures Fund,Estimated Budget Authority,2034,85500.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2034,2034,2034,14,12
Toxic Exposures Fund,Estimated Budget Authority,2035,89800.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2035,2035,2035,14,13
Toxic Exposures Fund,Estimated Budget Authority,2036,94300.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2036,2036,2036,14,14
Toxic Exposures Fund,Estimated Budget Authority,,329800.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,cumulative_fiscal_years,2027,2031,2027-2031,14,15
Toxic Exposures Fund,Estimated Budget Authority,,758300.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estimated Budget Authority,cumulative_fiscal_years,2027,2036,2027-2036,14,16
Toxic Exposures Fund,Estmated Outlays,2026,50135.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,fiscal_year,2026,2026,2026,15,4
Toxic Exposures Fund,Estmated Outlays,2027,56018.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,fiscal_year,2027,2027,2027,15,5
Toxic Exposures Fund,Estmated Outlays,2028,60919.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,fiscal_year,2028,2028,2028,15,6
Toxic Exposures Fund,Estmated Outlays,2029,65204.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,fiscal_year,2029,2029,2029,15,7
Toxic Exposures Fund,Estmated Outlays,2030,69194.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,fiscal_year,2030,2030,2030,15,8
Toxic Exposures Fund,Estmated Outlays,2031,72707.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,fiscal_year,2031,2031,2031,15,9
Toxic Exposures Fund,Estmated Outlays,2032,76357.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,fiscal_year,2032,2032,2032,15,10
Toxic Exposures Fund,Estmated Outlays,2033,80198.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,fiscal_year,2033,2033,2033,15,11
Toxic Exposures Fund,Estmated Outlays,2034,84237.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,fiscal_year,2034,2034,2034,15,12
Toxic Exposures Fund,Estmated Outlays,2035,88474.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,fiscal_year,2035,2035,2035,15,13
Toxic Exposures Fund,Estmated Outlays,2036,92909.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,fiscal_year,2036,2036,2036,15,14
Toxic Exposures Fund,Estmated Outlays,,324042.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,cumulative_fiscal_years,2027,2031,2027-2031,15,15
Toxic Exposures Fund,Estmated Outlays,,746217.0,Millions of dollars,60044-2026-02-tef.xlsx,TEF_02-2026,false,60044,Toxic Exposures Fund / Funding for Covered Activities in the Toxic Exposures Funda / Estmated Outlays,cumulative_fiscal_years,2027,2036,2027-2036,15,16
