program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Unemployment,Budget Authority,2023,30260.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Budget Authority,2024,44260.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Budget Authority,2025,44280.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Budget Authority,2026,44530.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Budget Authority,2027,45405.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Budget Authority,2028,46710.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Budget Authority,2029,48755.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Budget Authority,2030,50850.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Budget Authority,2031,52725.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Budget Authority,2032,54345.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Budget Authority,2033,55980.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Estimated Outlays,2023,30376.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Estimated Outlays,2024,44316.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Estimated Outlays,2025,44290.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Estimated Outlays,2026,44530.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Estimated Outlays,2027,45405.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Estimated Outlays,2028,46710.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Estimated Outlays,2029,48755.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Estimated Outlays,2030,50850.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
Unemployment,Estimated Outlays,2031,52725.0,Millions of dollars,51316-2023-05-unemployment.xlsx,UI and TAA_05-2023,false
