program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Unemployment Insurance,Budget Authority,2024,34554.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Budget Authority,fiscal_year,2024,2024,2024,13,4
Unemployment Insurance,Budget Authority,2025,37801.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Budget Authority,fiscal_year,2025,2025,2025,13,5
Unemployment Insurance,Budget Authority,2026,41338.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Budget Authority,fiscal_year,2026,2026,2026,13,6
Unemployment Insurance,Budget Authority,2027,44927.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Budget Authority,fiscal_year,2027,2027,2027,13,7
Unemployment Insurance,Budget Authority,2028,47862.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Budget Authority,fiscal_year,2028,2028,2028,13,8
Unemployment Insurance,Budget Authority,2029,50201.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Budget Authority,fiscal_year,2029,2029,2029,13,9
Unemployment Insurance,Budget Authority,2030,52141.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Budget Authority,fiscal_year,2030,2030,2030,13,10
Unemployment Insurance,Budget Authority,2031,53886.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Budget Authority,fiscal_year,2031,2031,2031,13,11
Unemployment Insurance,Budget Authority,2032,55586.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Budget Authority,fiscal_year,2032,2032,2032,13,12
Unemployment Insurance,Budget Authority,2033,57240.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Budget Authority,fiscal_year,2033,2033,2033,13,13
Unemployment Insurance,Budget Authority,2034,58875.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Budget Authority,fiscal_year,2034,2034,2034,13,14
Unemployment Insurance,Estimated Outlays,2024,34663.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2024,2024,2024,15,4
Unemployment Insurance,Estimated Outlays,2025,37835.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2025,2025,2025,15,5
Unemployment Insurance,Estimated Outlays,2026,41344.0,Millions of dollars,51316-2024-06-unemployment.xlsx,UI and TAA_06-2024,false,51316,Unemployment Compensation and Trade Adjustment Assistance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2026,2026,2026,15,6
