program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Unemployment Insurance,Regular Benefits,2020,27925.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Regular Benefits",fiscal_year,2020,2020,2020,8,2
Unemployment Insurance,Regular Benefits,2021,29845.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Regular Benefits",fiscal_year,2021,2021,2021,8,3
Unemployment Insurance,Regular Benefits,2022,34155.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Regular Benefits",fiscal_year,2022,2022,2022,8,4
Unemployment Insurance,Regular Benefits,2023,41290.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Regular Benefits",fiscal_year,2023,2023,2023,8,5
Unemployment Insurance,Regular Benefits,2024,45640.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Regular Benefits",fiscal_year,2024,2024,2024,8,6
Unemployment Insurance,Regular Benefits,2025,47080.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Regular Benefits",fiscal_year,2025,2025,2025,8,7
Unemployment Insurance,Regular Benefits,2026,49735.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Regular Benefits",fiscal_year,2026,2026,2026,8,8
Unemployment Insurance,Regular Benefits,2027,51375.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Regular Benefits",fiscal_year,2027,2027,2027,8,9
Unemployment Insurance,Regular Benefits,2028,53035.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Regular Benefits",fiscal_year,2028,2028,2028,8,10
Unemployment Insurance,Regular Benefits,2029,55090.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Regular Benefits",fiscal_year,2029,2029,2029,8,11
Unemployment Insurance,Regular Benefits,2030,56610.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Regular Benefits",fiscal_year,2030,2030,2030,8,12
Unemployment Insurance,Extended Benefits,2020,0.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Extended Benefits",fiscal_year,2020,2020,2020,9,2
Unemployment Insurance,Extended Benefits,2021,10.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Extended Benefits",fiscal_year,2021,2021,2021,9,3
Unemployment Insurance,Extended Benefits,2022,30.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Extended Benefits",fiscal_year,2022,2022,2022,9,4
Unemployment Insurance,Extended Benefits,2023,45.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Extended Benefits",fiscal_year,2023,2023,2023,9,5
Unemployment Insurance,Extended Benefits,2024,45.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Extended Benefits",fiscal_year,2024,2024,2024,9,6
Unemployment Insurance,Extended Benefits,2025,45.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Extended Benefits",fiscal_year,2025,2025,2025,9,7
Unemployment Insurance,Extended Benefits,2026,45.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Extended Benefits",fiscal_year,2026,2026,2026,9,8
Unemployment Insurance,Extended Benefits,2027,45.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Extended Benefits",fiscal_year,2027,2027,2027,9,9
Unemployment Insurance,Extended Benefits,2028,45.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Extended Benefits",fiscal_year,2028,2028,2028,9,10
Unemployment Insurance,Extended Benefits,2029,45.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Extended Benefits",fiscal_year,2029,2029,2029,9,11
Unemployment Insurance,Extended Benefits,2030,45.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,false,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Extended Benefits",fiscal_year,2030,2030,2030,9,12
Unemployment Insurance,Total Benefits,2020,27925.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,true,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Total Benefits",fiscal_year,2020,2020,2020,11,2
Unemployment Insurance,Total Benefits,2021,29855.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,true,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Total Benefits",fiscal_year,2021,2021,2021,11,3
Unemployment Insurance,Total Benefits,2022,34185.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,true,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Total Benefits",fiscal_year,2022,2022,2022,11,4
Unemployment Insurance,Total Benefits,2023,41335.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,true,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Total Benefits",fiscal_year,2023,2023,2023,11,5
Unemployment Insurance,Total Benefits,2024,45685.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,true,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Total Benefits",fiscal_year,2024,2024,2024,11,6
Unemployment Insurance,Total Benefits,2025,47125.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,true,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Total Benefits",fiscal_year,2025,2025,2025,11,7
Unemployment Insurance,Total Benefits,2026,49780.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,true,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Total Benefits",fiscal_year,2026,2026,2026,11,8
Unemployment Insurance,Total Benefits,2027,51420.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,true,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Total Benefits",fiscal_year,2027,2027,2027,11,9
Unemployment Insurance,Total Benefits,2028,53080.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,true,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Total Benefits",fiscal_year,2028,2028,2028,11,10
Unemployment Insurance,Total Benefits,2029,55135.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,true,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Total Benefits",fiscal_year,2029,2029,2029,11,11
Unemployment Insurance,Total Benefits,2030,56655.0,Millions of dollars,51316-2020-03-unemployment.xlsx,Unemployment & Trade Adjustment,true,51316,"Outlays in Millions of Dollars, by Fiscal Year / Unemployment Compensation / Total Benefits",fiscal_year,2030,2030,2030,11,12
