program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,Support and Related Programsa,2019,19473.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2019,2019,2019,109,3
USDA Farm Programs,Support and Related Programsa,2020,17895.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2020,2020,2020,109,4
USDA Farm Programs,Support and Related Programsa,2021,9808.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2021,2021,2021,109,5
USDA Farm Programs,Support and Related Programsa,2022,8814.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2022,2022,2022,109,6
USDA Farm Programs,Support and Related Programsa,2023,8958.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2023,2023,2023,109,7
USDA Farm Programs,Support and Related Programsa,2024,8797.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2024,2024,2024,109,8
USDA Farm Programs,Support and Related Programsa,2025,8261.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2025,2025,2025,109,9
USDA Farm Programs,Support and Related Programsa,2026,8165.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2026,2026,2026,109,10
USDA Farm Programs,Support and Related Programsa,2027,7745.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2027,2027,2027,109,11
USDA Farm Programs,Support and Related Programsa,2028,7574.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2028,2028,2028,109,12
USDA Farm Programs,Support and Related Programsa,2029,7274.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2029,2029,2029,109,13
USDA Farm Programs,Support and Related Programsa,2030,7223.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,fiscal_year,2030,2030,2030,109,14
USDA Farm Programs,CCC Conservation Programsb,2019,1903.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,fiscal_year,2019,2019,2019,111,3
USDA Farm Programs,CCC Conservation Programsb,2020,1863.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,fiscal_year,2020,2020,2020,111,4
USDA Farm Programs,CCC Conservation Programsb,2021,1891.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,fiscal_year,2021,2021,2021,111,5
USDA Farm Programs,CCC Conservation Programsb,2022,2022.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,fiscal_year,2022,2022,2022,111,6
USDA Farm Programs,CCC Conservation Programsb,2023,2166.0,Millions of dollars,51317-2020-03-usda.xlsx,Sheet1,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,fiscal_year,2023,2023,2023,111,7
