program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,Support and Related Programsa,2022,4071.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2022,2022,2022,109,3
USDA Farm Programs,Support and Related Programsa,2023,2834.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2023,2023,2023,109,4
USDA Farm Programs,Support and Related Programsa,2024,2727.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2024,2024,2024,109,5
USDA Farm Programs,Support and Related Programsa,2025,3318.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2025,2025,2025,109,6
USDA Farm Programs,Support and Related Programsa,2026,6041.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2026,2026,2026,109,7
USDA Farm Programs,Support and Related Programsa,2027,8841.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2027,2027,2027,109,8
USDA Farm Programs,Support and Related Programsa,2028,9953.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2028,2028,2028,109,9
USDA Farm Programs,Support and Related Programsa,2029,9891.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2029,2029,2029,109,10
USDA Farm Programs,Support and Related Programsa,2030,8782.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2030,2030,2030,109,11
USDA Farm Programs,Support and Related Programsa,2031,7875.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2031,2031,2031,109,12
