program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,Support and Related Programsa,2023,5129.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2023,2023,2023,108,3
USDA Farm Programs,Support and Related Programsa,2024,10930.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2024,2024,2024,108,4
USDA Farm Programs,Support and Related Programsa,2025,9193.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2025,2025,2025,108,5
USDA Farm Programs,Support and Related Programsa,2026,8073.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2026,2026,2026,108,6
USDA Farm Programs,Support and Related Programsa,2027,8998.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2027,2027,2027,108,7
USDA Farm Programs,Support and Related Programsa,2028,10446.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2028,2028,2028,108,8
USDA Farm Programs,Support and Related Programsa,2029,11221.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2029,2029,2029,108,9
USDA Farm Programs,Support and Related Programsa,2030,9198.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2030,2030,2030,108,10
USDA Farm Programs,Support and Related Programsa,2031,9097.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2031,2031,2031,108,11
USDA Farm Programs,Support and Related Programsa,2032,9251.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2032,2032,2032,108,12
USDA Farm Programs,Support and Related Programsa,2033,9119.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2033,2033,2033,108,13
USDA Farm Programs,Support and Related Programsa,2034,9345.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Support and Related Programsa,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2034,2034,2034,108,14
USDA Farm Programs,CCC Conservation Programsb,2023,1878.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2023,2023,2023,110,3
USDA Farm Programs,CCC Conservation Programsb,2024,2101.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2024,2024,2024,110,4
USDA Farm Programs,CCC Conservation Programsb,2025,2131.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2025,2025,2025,110,5
USDA Farm Programs,CCC Conservation Programsb,2026,2095.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2026,2026,2026,110,6
USDA Farm Programs,CCC Conservation Programsb,2027,2090.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2027,2027,2027,110,7
USDA Farm Programs,CCC Conservation Programsb,2028,2087.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2028,2028,2028,110,8
USDA Farm Programs,CCC Conservation Programsb,2029,2111.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2029,2029,2029,110,9
USDA Farm Programs,CCC Conservation Programsb,2030,2139.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2030,2030,2030,110,10
USDA Farm Programs,CCC Conservation Programsb,2031,2120.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2031,2031,2031,110,11
USDA Farm Programs,CCC Conservation Programsb,2032,2187.0,Millions of dollars,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / CCC Conservation Programsb,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2032,2032,2032,110,12
