program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Veterans Benefits,Number (Thousands),2019,4895.0,Thousands,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2019,2019,2019,10,2
Veterans Benefits,Number (Thousands),2020,5008.0,Thousands,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2020,2020,2020,10,3
Veterans Benefits,Number (Thousands),2021,5094.0,Thousands,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2021,2021,2021,10,4
Veterans Benefits,Number (Thousands),2022,5168.0,Thousands,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2022,2022,2022,10,5
Veterans Benefits,Number (Thousands),2023,5240.0,Thousands,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2023,2023,2023,10,6
Veterans Benefits,Number (Thousands),2024,5310.0,Thousands,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2024,2024,2024,10,7
Veterans Benefits,Number (Thousands),2025,5377.0,Thousands,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2025,2025,2025,10,8
Veterans Benefits,Number (Thousands),2026,5443.0,Thousands,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2026,2026,2026,10,9
Veterans Benefits,Number (Thousands),2027,5507.0,Thousands,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2027,2027,2027,10,10
Veterans Benefits,Number (Thousands),2028,5569.0,Thousands,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2028,2028,2028,10,11
Veterans Benefits,Number (Thousands),2029,5630.0,Thousands,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2029,2029,2029,10,12
Veterans Benefits,Average Annual Benefit (Dollars),2019,17364.0,Dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2019,2019,2019,12,2
Veterans Benefits,Average Annual Benefit (Dollars),2020,18013.0,Dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2020,2020,2020,12,3
Veterans Benefits,Average Annual Benefit (Dollars),2021,18248.0,Dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2021,2021,2021,12,4
Veterans Benefits,Average Annual Benefit (Dollars),2022,18607.0,Dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2022,2022,2022,12,5
Veterans Benefits,Average Annual Benefit (Dollars),2023,19008.0,Dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2023,2023,2023,12,6
Veterans Benefits,Average Annual Benefit (Dollars),2024,19602.0,Dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2024,2024,2024,12,7
Veterans Benefits,Average Annual Benefit (Dollars),2025,20009.0,Dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2025,2025,2025,12,8
Veterans Benefits,Average Annual Benefit (Dollars),2026,20474.0,Dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2026,2026,2026,12,9
Veterans Benefits,Average Annual Benefit (Dollars),2027,20946.0,Dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2027,2027,2027,12,10
Veterans Benefits,Average Annual Benefit (Dollars),2028,21429.0,Dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2028,2028,2028,12,11
Veterans Benefits,Average Annual Benefit (Dollars),2029,21919.0,Dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2029,2029,2029,12,12
Veterans Benefits,(Millions of dollars),2019,84988.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2019,2019,2019,15,2
Veterans Benefits,(Millions of dollars),2020,89646.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2020,2020,2020,15,3
Veterans Benefits,(Millions of dollars),2021,92332.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2021,2021,2021,15,4
Veterans Benefits,(Millions of dollars),2022,96019.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2022,2022,2022,15,5
Veterans Benefits,(Millions of dollars),2023,99417.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2023,2023,2023,15,6
Veterans Benefits,(Millions of dollars),2024,103876.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2024,2024,2024,15,7
Veterans Benefits,(Millions of dollars),2025,107382.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2025,2025,2025,15,8
Veterans Benefits,(Millions of dollars),2026,111224.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2026,2026,2026,15,9
Veterans Benefits,(Millions of dollars),2027,115128.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2027,2027,2027,15,10
Veterans Benefits,(Millions of dollars),2028,119143.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2028,2028,2028,15,11
Veterans Benefits,(Millions of dollars),2029,123169.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2029,2029,2029,15,12
Veterans Benefits,(Millions of dollars),2019,0.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Adjustment for Payday Shift / (Millions of dollars),fiscal_year,2019,2019,2019,18,2
Veterans Benefits,(Millions of dollars),2020,0.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Adjustment for Payday Shift / (Millions of dollars),fiscal_year,2020,2020,2020,18,3
Veterans Benefits,(Millions of dollars),2021,0.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Adjustment for Payday Shift / (Millions of dollars),fiscal_year,2021,2021,2021,18,4
Veterans Benefits,(Millions of dollars),2022,8014.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Adjustment for Payday Shift / (Millions of dollars),fiscal_year,2022,2022,2022,18,5
Veterans Benefits,(Millions of dollars),2023,676.0,Millions of dollars,53725-2019-05-Veterans.xlsx,Table 1,false,53725,By Fiscal Year / Adjustment for Payday Shift / (Millions of dollars),fiscal_year,2023,2023,2023,18,6
