program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Veterans Benefits,Number (Thousands),2020,5102.0,Thousands,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2020,2020,2020,10,2
Veterans Benefits,Number (Thousands),2021,5251.0,Thousands,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2021,2021,2021,10,3
Veterans Benefits,Number (Thousands),2022,5386.0,Thousands,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2022,2022,2022,10,4
Veterans Benefits,Number (Thousands),2023,5502.0,Thousands,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2023,2023,2023,10,5
Veterans Benefits,Number (Thousands),2024,5590.0,Thousands,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2024,2024,2024,10,6
Veterans Benefits,Number (Thousands),2025,5666.0,Thousands,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2025,2025,2025,10,7
Veterans Benefits,Number (Thousands),2026,5724.0,Thousands,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2026,2026,2026,10,8
Veterans Benefits,Number (Thousands),2027,5781.0,Thousands,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2027,2027,2027,10,9
Veterans Benefits,Number (Thousands),2028,5836.0,Thousands,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2028,2028,2028,10,10
Veterans Benefits,Number (Thousands),2029,5890.0,Thousands,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2029,2029,2029,10,11
Veterans Benefits,Number (Thousands),2030,5943.0,Thousands,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Number (Thousands),fiscal_year,2030,2030,2030,10,12
Veterans Benefits,Average Annual Benefit (Dollars),2020,18597.0,Dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2020,2020,2020,12,2
Veterans Benefits,Average Annual Benefit (Dollars),2021,19029.0,Dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2021,2021,2021,12,3
Veterans Benefits,Average Annual Benefit (Dollars),2022,19412.0,Dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2022,2022,2022,12,4
Veterans Benefits,Average Annual Benefit (Dollars),2023,19916.0,Dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2023,2023,2023,12,5
Veterans Benefits,Average Annual Benefit (Dollars),2024,20417.0,Dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2024,2024,2024,12,6
Veterans Benefits,Average Annual Benefit (Dollars),2025,20911.0,Dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2025,2025,2025,12,7
Veterans Benefits,Average Annual Benefit (Dollars),2026,21395.0,Dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2026,2026,2026,12,8
Veterans Benefits,Average Annual Benefit (Dollars),2027,21887.0,Dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2027,2027,2027,12,9
Veterans Benefits,Average Annual Benefit (Dollars),2028,22372.0,Dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2028,2028,2028,12,10
Veterans Benefits,Average Annual Benefit (Dollars),2029,22865.0,Dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2029,2029,2029,12,11
Veterans Benefits,Average Annual Benefit (Dollars),2030,23368.0,Dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Veterans / Average Annual Benefit (Dollars),fiscal_year,2030,2030,2030,12,12
Veterans Benefits,(Millions of dollars),2020,94879.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2020,2020,2020,15,2
Veterans Benefits,(Millions of dollars),2021,99920.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2021,2021,2021,15,3
Veterans Benefits,(Millions of dollars),2022,104560.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2022,2022,2022,15,4
Veterans Benefits,(Millions of dollars),2023,109587.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2023,2023,2023,15,5
Veterans Benefits,(Millions of dollars),2024,114142.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2024,2024,2024,15,6
Veterans Benefits,(Millions of dollars),2025,118473.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2025,2025,2025,15,7
Veterans Benefits,(Millions of dollars),2026,122466.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2026,2026,2026,15,8
Veterans Benefits,(Millions of dollars),2027,126528.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2027,2027,2027,15,9
Veterans Benefits,(Millions of dollars),2028,130574.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2028,2028,2028,15,10
Veterans Benefits,(Millions of dollars),2029,134683.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2029,2029,2029,15,11
Veterans Benefits,(Millions of dollars),2030,138879.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,true,53725,By Fiscal Year / Total Payments for Veterans / (Millions of dollars),fiscal_year,2030,2030,2030,15,12
Veterans Benefits,(Millions of dollars),2020,0.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Adjustment for Payday Shifta / (Millions of dollars),fiscal_year,2020,2020,2020,18,2
Veterans Benefits,(Millions of dollars),2021,0.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Adjustment for Payday Shifta / (Millions of dollars),fiscal_year,2021,2021,2021,18,3
Veterans Benefits,(Millions of dollars),2022,8713.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Adjustment for Payday Shifta / (Millions of dollars),fiscal_year,2022,2022,2022,18,4
Veterans Benefits,(Millions of dollars),2023,804.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Adjustment for Payday Shifta / (Millions of dollars),fiscal_year,2023,2023,2023,18,5
Veterans Benefits,(Millions of dollars),2024,-9517.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Adjustment for Payday Shifta / (Millions of dollars),fiscal_year,2024,2024,2024,18,6
Veterans Benefits,(Millions of dollars),2025,0.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Adjustment for Payday Shifta / (Millions of dollars),fiscal_year,2025,2025,2025,18,7
Veterans Benefits,(Millions of dollars),2026,0.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Adjustment for Payday Shifta / (Millions of dollars),fiscal_year,2026,2026,2026,18,8
Veterans Benefits,(Millions of dollars),2027,0.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Adjustment for Payday Shifta / (Millions of dollars),fiscal_year,2027,2027,2027,18,9
Veterans Benefits,(Millions of dollars),2028,11224.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Adjustment for Payday Shifta / (Millions of dollars),fiscal_year,2028,2028,2028,18,10
Veterans Benefits,(Millions of dollars),2029,-11224.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Adjustment for Payday Shifta / (Millions of dollars),fiscal_year,2029,2029,2029,18,11
Veterans Benefits,(Millions of dollars),2030,0.0,Millions of dollars,53725-2020-03-veteransbenefit.xlsx,Compensation,false,53725,By Fiscal Year / Adjustment for Payday Shifta / (Millions of dollars),fiscal_year,2030,2030,2030,18,12
