program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Veterans Benefits,Total Outlays for Disability Compensation,2022,133405.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,true,53725,Veterans’ Disability Compensation and Pension Programs / Survivors / Total Outlays for Disability Compensation,fiscal_year,2022,2022,2022,28,4
Veterans Benefits,Total Outlays for Disability Compensation,2023,135771.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,true,53725,Veterans’ Disability Compensation and Pension Programs / Survivors / Total Outlays for Disability Compensation,fiscal_year,2023,2023,2023,28,5
Veterans Benefits,Total Outlays for Disability Compensation,2024,130161.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,true,53725,Veterans’ Disability Compensation and Pension Programs / Survivors / Total Outlays for Disability Compensation,fiscal_year,2024,2024,2024,28,6
Veterans Benefits,Total Outlays for Disability Compensation,2025,148419.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,true,53725,Veterans’ Disability Compensation and Pension Programs / Survivors / Total Outlays for Disability Compensation,fiscal_year,2025,2025,2025,28,7
Veterans Benefits,Total Outlays for Disability Compensation,2026,154281.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,true,53725,Veterans’ Disability Compensation and Pension Programs / Survivors / Total Outlays for Disability Compensation,fiscal_year,2026,2026,2026,28,8
Veterans Benefits,Total Outlays for Disability Compensation,2027,160142.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,true,53725,Veterans’ Disability Compensation and Pension Programs / Survivors / Total Outlays for Disability Compensation,fiscal_year,2027,2027,2027,28,9
Veterans Benefits,Total Outlays for Disability Compensation,2028,180524.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,true,53725,Veterans’ Disability Compensation and Pension Programs / Survivors / Total Outlays for Disability Compensation,fiscal_year,2028,2028,2028,28,10
Veterans Benefits,Total Outlays for Disability Compensation,2029,158086.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,true,53725,Veterans’ Disability Compensation and Pension Programs / Survivors / Total Outlays for Disability Compensation,fiscal_year,2029,2029,2029,28,11
Veterans Benefits,Total Outlays for Disability Compensation,2030,178953.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,true,53725,Veterans’ Disability Compensation and Pension Programs / Survivors / Total Outlays for Disability Compensation,fiscal_year,2030,2030,2030,28,12
Veterans Benefits,Total Outlays for Disability Compensation,2031,185630.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,true,53725,Veterans’ Disability Compensation and Pension Programs / Survivors / Total Outlays for Disability Compensation,fiscal_year,2031,2031,2031,28,13
Veterans Benefits,Total Outlays for Disability Compensation,2032,192332.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,true,53725,Veterans’ Disability Compensation and Pension Programs / Survivors / Total Outlays for Disability Compensation,fiscal_year,2032,2032,2032,28,14
Veterans Benefits,Estimated Outlays,2022,2613.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,false,53725,Veterans’ Disability Compensation and Pension Programs / Veterans / Estimated Outlays,fiscal_year,2022,2022,2022,33,4
Veterans Benefits,Estimated Outlays,2023,2350.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,false,53725,Veterans’ Disability Compensation and Pension Programs / Veterans / Estimated Outlays,fiscal_year,2023,2023,2023,33,5
Veterans Benefits,Estimated Outlays,2024,2070.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,false,53725,Veterans’ Disability Compensation and Pension Programs / Veterans / Estimated Outlays,fiscal_year,2024,2024,2024,33,6
Veterans Benefits,Estimated Outlays,2025,2139.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,false,53725,Veterans’ Disability Compensation and Pension Programs / Veterans / Estimated Outlays,fiscal_year,2025,2025,2025,33,7
Veterans Benefits,Estimated Outlays,2026,2023.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,false,53725,Veterans’ Disability Compensation and Pension Programs / Veterans / Estimated Outlays,fiscal_year,2026,2026,2026,33,8
Veterans Benefits,Estimated Outlays,2027,1913.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,false,53725,Veterans’ Disability Compensation and Pension Programs / Veterans / Estimated Outlays,fiscal_year,2027,2027,2027,33,9
Veterans Benefits,Estimated Outlays,2028,1952.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,false,53725,Veterans’ Disability Compensation and Pension Programs / Veterans / Estimated Outlays,fiscal_year,2028,2028,2028,33,10
Veterans Benefits,Estimated Outlays,2029,1652.0,Dollars,53725-2022-05-veteransbenefit.xlsx,Veterans' C&P_05-2022,false,53725,Veterans’ Disability Compensation and Pension Programs / Veterans / Estimated Outlays,fiscal_year,2029,2029,2029,33,11
